SARIMA,ETS,Theta,Ensemble,ticker,date
33443979151.93859,38338523126.80114,32150968038.68003,34644490105.80659,214430,2025-07-09
33482822951.66125,32198025110.15377,32982676073.517048,32887841378.444027,214680,2025-10-01
31619586992.786125,32839055475.39337,34551605210.30616,33003415892.828552,214680,2025-10-02
31399009058.491894,33110251067.17343,34090779617.09528,32866679914.253536,214680,2025-10-03
32365145675.0086,36014071819.37069,35384672936.53746,34587963476.97225,214680,2025-10-04
32216544093.9104,37717202353.85942,36331361926.38779,35421702791.38587,214680,2025-10-05
30485984164.857616,36921798730.41183,34900368879.843575,34102717258.371,214680,2025-10-06
31394892731.868374,38670580823.33547,35879436905.68031,35314970153.62805,214680,2025-10-07
29210969006.73336,38278632778.95517,35114876099.37418,34201492628.35424,214680,2025-10-08
35288115710.010826,38919663144.19477,36683805236.1633,36963861363.4563,214680,2025-10-09
1761926221.074082,1953360117.776008,1928642310.6803763,1881309549.8434887,215600,2025-10-01
1399641304.7710695,2274929182.4312863,1935301862.8384557,1869957450.013604,215600,2025-10-02
1071283642.4289416,3343634647.948413,1941961414.9965343,2118959901.791296,215600,2025-10-03
1357300094.820769,2709397527.90826,1948620967.154614,2005106196.6278808,215600,2025-10-04
1294393062.200071,2712024024.9494686,1955280519.312693,1987232535.4874108,215600,2025-10-05
1245371281.3344069,2835801655.512172,1961940071.4707725,2014371002.7724504,215600,2025-10-06
1462490850.3810885,2729636672.570732,1968599623.628852,2053575715.5268908,215600,2025-10-07
1437126017.2741556,2668643466.0955086,1975259175.7869308,2027009553.0521984,215600,2025-10-08
1275223392.0144303,2990212530.7507877,1981918727.94501,2082451550.2367427,215600,2025-10-09
20983910711.36978,20357639075.374,16212825528.003254,19184791771.582348,217190,2025-10-01
13651710180.99966,19576031339.14625,16392436584.19605,16540059368.113989,217190,2025-10-02
21222897291.30465,18579510682.08042,16572047640.388847,18791485204.591305,217190,2025-10-03
12359278470.106342,18095425565.71211,16751658696.581644,15735454244.133364,217190,2025-10-04
21096503203.959625,18858826003.93791,16931269752.774445,18962199653.557327,217190,2025-10-05
12884774956.86862,17072301596.74482,17110880808.96724,15689319120.860228,217190,2025-10-06
21751961037.699497,18835746567.626945,17290491865.160038,19292733156.828827,217190,2025-10-07
13223741039.379889,22150394449.460964,17470102921.352833,17614746136.731228,217190,2025-10-08
23504113180.50137,21368786713.23322,17649713977.54563,20840871290.42674,217190,2025-10-09
44451001264.13101,38305971180.10829,40380813355.86398,41045928600.03442,218410,2025-10-01
40034766978.15283,46270554486.95657,40774267151.12725,42359862872.07889,218410,2025-10-02
45790677445.75991,43481147556.46649,41167720946.39052,43479848649.53898,218410,2025-10-03
39895308702.53507,41452843027.14598,41561174741.65378,40969775490.44495,218410,2025-10-04
45566185148.62601,42610667420.316345,41954628536.917046,43377160368.619804,218410,2025-10-05
40867536893.39381,47271696756.436905,42348082332.18031,43495771994.00368,218410,2025-10-06
46700349787.60585,41790669465.97985,42741536127.44357,43744185127.00976,218410,2025-10-07
40061959505.87101,42583337130.58023,43134989922.70684,41926762186.38602,218410,2025-10-08
47979375662.648575,50547920437.42853,43528443717.97011,47351913272.6824,218410,2025-10-09
19018187746.258835,17792778403.54538,18368272667.25446,18393079605.686226,219130,2025-07-01
19196042291.431744,16372821655.86498,17823428242.721916,17797430730.006214,219130,2025-07-02
18853031028.213837,17943458144.26909,18621468457.16896,18472652543.217297,219130,2025-07-03
19118727043.764896,16415953297.882685,17689790735.28947,17741490358.97902,219130,2025-07-04
18934881779.38389,17861425260.607414,18011178154.02223,18269161731.337845,219130,2025-07-05
18359122389.41099,20070963472.10204,19539628328.87744,19323238063.46349,219130,2025-07-06
18435965711.974617,18228084529.629314,18912318977.542168,18525456406.38203,219130,2025-07-07
18130871395.739807,19816760312.181065,19545516781.240917,19164382829.720592,219130,2025-07-08
18299348739.71427,18396803564.500668,19000672356.70837,18565608220.30777,219130,2025-07-09
19898784755.507477,21888728061.697468,21582044424.781563,21123185747.328835,221840,2025-10-01
20874336349.222607,26575892695.44071,21802760514.501564,23084329853.05496,221840,2025-10-02
