ticker,reported_currency,is_foreign
EACQ,USD,False
EAT,USD,False
EBAY,USD,False
EBF,USD,False
EBS,USD,False
EC,COP,True
ECL,USD,False
EDU,USD,False
EEFT,USD,False
EFC,USD,False
EFX,USD,False
EFXT,USD,False
EGO,USD,False
EGP,USD,False
EGY,USD,False
EHC,USD,False
EL,USD,False
ELA,USD,False
ELE,USD,False
ELS,USD,False
ELV,USD,False
ELVA,USD,False
ELY,USD,False
EME,USD,False
EMN,USD,False
EMR,USD,False
EMX,USD,False
ENB,CAD,True
ENLC,USD,False
ENOV,USD,False
ENPH,USD,False
ENR,USD,False
ENS,USD,False
ENSG,USD,False
ENTG,USD,False
ENV,USD,False
EOG,USD,False
EPAC,USD,False
EPAM,USD,False
EPC,USD,False
EPD,USD,False
EPR,USD,False
EQIX,USD,False
EQNR,USD,False
EQR,USD,False
EQT,USD,False
ERF,USD,False
ERIC,SEK,True
ERII,USD,False
ERJ,BRL,True
ESBA,USD,False
ESE,USD,False
ESEA,USD,False
ESI,USD,False
ESLT,USD,False
ESPR,USD,False
ESRT,USD,False
ESS,USD,False
ESTE,USD,False
ET,USD,False
ETD,USD,False
ETN,USD,False
ETSY,USD,False
EU,USD,False
EURN,USD,False
EVH,USD,False
EVI,USD,False
EVO,EUR,True
EVRI,USD,False
EVTC,USD,False
EW,USD,False
EXAS,USD,False
EXEL,USD,False
EXK,USD,False
EXLS,USD,False
EXP,USD,False
EXPD,USD,False
EXPE,USD,False
EXPO,USD,False
EXR,USD,False
EXTR,USD,False
EYPT,USD,False
EZT,UNKNOWN,False
F,USD,False
FANG,USD,False
FARO,USD,False
FAST,USD,False
FBHS,USD,False
FBIN,USD,False
FCEL,USD,False
FCN,USD,False
FCPT,USD,False
FCX,USD,False
FDP,USD,False
FDX,USD,False
FEIM,USD,False
FELE,USD,False
FER,EUR,True
FERG,USD,False
FET,USD,False
FFHL,CNY,True
FFIV,USD,False
FI,USD,False
FICO,USD,False
FIS,USD,False
FISK,USD,False
